date,period,row_count,total_sales,mean_sales,promotion_sum,promoted_store_count,max_onpromotion
2017-03-29,train_2017,54,697.0,12.907408,71,24,6
2017-03-30,train_2017,54,865.0,16.018518,65,23,6
2017-03-31,train_2017,54,912.0,16.88889,77,25,6
2017-04-01,train_2017,54,1645.0,30.462963,106,29,8
2017-04-02,train_2017,54,927.0,17.166666,89,27,6
2017-04-03,train_2017,54,863.0,15.981482,71,22,6
2017-04-04,train_2017,54,874.0,16.185184,91,28,6
2017-04-05,train_2017,54,719.0,13.314815,59,21,6
2017-04-06,train_2017,54,774.0,14.333333,76,23,8
2017-04-07,train_2017,54,580.0,10.740741,68,21,7
2017-04-08,train_2017,54,1095.0,20.277779,94,29,7
2017-04-09,train_2017,54,1073.0,19.87037,108,31,9
2017-04-10,train_2017,54,756.0,14.0,92,29,7
2017-04-11,train_2017,54,771.0,14.277778,75,25,9
2017-04-12,train_2017,54,727.0,13.462963,78,24,8
2017-04-13,train_2017,54,617.0,11.425926,77,29,7
2017-04-14,train_2017,54,734.0,13.592592,81,30,7
2017-04-15,train_2017,54,836.0,15.481482,109,30,10
2017-04-16,train_2017,54,1149.0,21.277779,121,33,8
2017-04-17,train_2017,54,718.0,13.296296,102,31,7
2017-04-18,train_2017,54,926.0,17.148148,92,28,8
2017-04-19,train_2017,54,702.0,13.0,102,31,7
2017-04-20,train_2017,54,807.0,14.944445,90,26,8
2017-04-21,train_2017,54,846.0,15.666667,92,31,7
2017-04-22,train_2017,54,1175.0,21.75926,131,34,9
2017-04-23,train_2017,54,1634.0,30.25926,143,35,8
2017-04-24,train_2017,54,1376.0,25.481482,132,36,8
2017-04-25,train_2017,54,1324.0,24.518518,131,35,10
2017-04-26,train_2017,54,1240.0,22.962963,129,34,9
2017-04-27,train_2017,54,1021.0,18.907408,115,33,8
2017-04-28,train_2017,54,637.0,11.796296,111,33,8
2017-04-29,train_2017,54,1144.0,21.185184,145,35,9
2017-04-30,train_2017,54,999.0,18.5,127,33,9
2017-05-01,train_2017,54,1334.0,24.703703,160,36,10
2017-05-02,train_2017,54,775.0,14.351851,122,35,8
2017-05-03,train_2017,54,560.0,10.37037,100,33,8
2017-05-04,train_2017,54,542.0,10.037037,103,31,8
2017-05-05,train_2017,54,396.0,7.3333335,90,31,6
2017-05-06,train_2017,54,523.0,9.685185,98,33,5
2017-05-07,train_2017,54,794.0,14.703704,125,34,7
2017-05-08,train_2017,54,416.0,7.703704,86,34,6
2017-05-09,train_2017,54,328.0,6.0740743,75,32,4
2017-05-10,train_2017,54,349.0,6.462963,83,32,6
2017-05-11,train_2017,54,274.0,5.0740743,85,32,9
2017-05-12,train_2017,54,186.0,3.4444444,67,30,8
2017-05-13,train_2017,54,254.0,4.703704,81,33,6
2017-05-14,train_2017,54,321.0,5.9444447,103,36,7
2017-05-15,train_2017,54,278.0,5.148148,86,35,7
2017-05-16,train_2017,54,218.0,4.037037,78,30,7
2017-05-17,train_2017,54,215.0,3.9814816,74,34,5
2017-05-18,train_2017,54,154.0,2.851852,2,2,1
2017-05-19,train_2017,54,105.0,1.9444444,1,1,1
2017-05-20,train_2017,54,142.0,2.6296296,1,1,1
2017-05-21,train_2017,54,255.0,4.7222223,0,0,0
2017-05-22,train_2017,54,112.0,2.074074,0,0,0
2017-05-23,train_2017,54,129.0,2.3888888,2,2,1
2017-05-24,train_2017,54,102.0,1.8888888,4,2,3
2017-05-25,train_2017,54,92.0,1.7037038,0,0,0
2017-05-26,train_2017,54,148.0,2.7407408,0,0,0
2017-05-27,train_2017,54,120.0,2.2222223,1,1,1
2017-05-28,train_2017,54,201.0,3.7222223,1,1,1
2017-05-29,train_2017,54,120.0,2.2222223,1,1,1
2017-05-30,train_2017,54,88.0,1.6296296,0,0,0
2017-05-31,train_2017,54,127.0,2.351852,1,1,1
2017-06-01,train_2017,54,96.0,1.7777778,0,0,0
2017-06-02,train_2017,54,72.0,1.3333334,0,0,0
2017-06-03,train_2017,54,138.0,2.5555556,0,0,0
2017-06-04,train_2017,54,219.0,4.0555553,0,0,0
2017-06-05,train_2017,54,85.0,1.574074,0,0,0
2017-06-06,train_2017,54,63.0,1.1666666,0,0,0
2017-06-07,train_2017,54,95.0,1.7592592,0,0,0
2017-06-08,train_2017,54,60.0,1.1111112,0,0,0
2017-06-09,train_2017,54,68.0,1.2592592,0,0,0
2017-06-10,train_2017,54,117.0,2.1666667,0,0,0
2017-06-11,train_2017,54,162.0,3.0,0,0,0
2017-06-12,train_2017,54,96.0,1.7777778,0,0,0
2017-06-13,train_2017,54,72.0,1.3333334,0,0,0
2017-06-14,train_2017,54,60.0,1.1111112,0,0,0
2017-06-15,train_2017,54,75.0,1.3888888,0,0,0
2017-06-16,train_2017,54,58.0,1.074074,0,0,0
2017-06-17,train_2017,54,81.0,1.5,0,0,0
2017-06-18,train_2017,54,110.0,2.0370371,0,0,0
2017-06-19,train_2017,54,77.0,1.425926,0,0,0
2017-06-20,train_2017,54,68.0,1.2592592,0,0,0
2017-06-21,train_2017,54,51.0,0.9444444,0,0,0
2017-06-22,train_2017,54,55.0,1.0185186,0,0,0
2017-06-23,train_2017,54,51.0,0.9444444,0,0,0
2017-06-24,train_2017,54,90.0,1.6666666,0,0,0
2017-06-25,train_2017,54,130.0,2.4074075,0,0,0
2017-06-26,train_2017,54,79.0,1.462963,0,0,0
2017-06-27,train_2017,54,38.0,0.7037037,0,0,0
2017-06-28,train_2017,54,76.0,1.4074074,0,0,0
2017-06-29,train_2017,54,51.0,0.9444444,0,0,0
2017-06-30,train_2017,54,62.0,1.1481482,0,0,0
2017-07-01,train_2017,54,77.0,1.425926,1,1,1
2017-07-02,train_2017,54,153.0,2.8333333,0,0,0
2017-07-03,train_2017,54,72.0,1.3333334,0,0,0
2017-07-04,train_2017,54,93.0,1.7222222,1,1,1
2017-07-05,train_2017,54,68.0,1.2592592,0,0,0
2017-07-06,train_2017,54,67.0,1.2407408,0,0,0
2017-07-07,train_2017,54,40.0,0.7407407,0,0,0
2017-07-08,train_2017,54,77.0,1.425926,0,0,0
2017-07-09,train_2017,54,117.0,2.1666667,0,0,0
2017-07-10,train_2017,54,95.0,1.7592592,0,0,0
2017-07-11,train_2017,54,57.0,1.0555556,0,0,0
2017-07-12,train_2017,54,53.0,0.9814815,0,0,0
2017-07-13,train_2017,54,64.0,1.1851852,0,0,0
2017-07-14,train_2017,54,35.0,0.6481481,0,0,0
2017-07-15,train_2017,54,62.0,1.1481482,0,0,0
2017-07-16,train_2017,54,121.0,2.2407408,0,0,0
2017-07-17,train_2017,54,67.0,1.2407408,0,0,0
2017-07-18,train_2017,54,54.0,1.0,0,0,0
2017-07-19,train_2017,54,49.0,0.9074074,0,0,0
2017-07-20,train_2017,54,100.0,1.8518518,0,0,0
2017-07-21,train_2017,54,285.0,5.2777777,0,0,0
2017-07-22,train_2017,54,294.0,5.4444447,0,0,0
2017-07-23,train_2017,54,356.0,6.5925927,0,0,0
2017-07-24,train_2017,54,192.0,3.5555556,3,2,2
2017-07-25,train_2017,54,174.0,3.2222223,0,0,0
2017-07-26,train_2017,54,166.0,3.074074,1,1,1
2017-07-27,train_2017,54,244.0,4.5185184,26,7,10
2017-07-28,train_2017,54,567.0,10.5,42,8,12
2017-07-29,train_2017,54,1345.0,24.907408,71,12,12
2017-07-30,train_2017,54,2027.0,37.537037,73,12,12
2017-07-31,fold3,54,1626.0,30.11111,72,12,12
2017-08-01,fold3,54,2664.0,49.333332,101,12,13
2017-08-02,fold3,54,3104.0,57.48148,105,12,12
2017-08-03,fold3,54,2803.0,51.907406,111,12,13
2017-08-04,fold3,54,3414.0,63.22222,107,12,13
2017-08-05,fold3,54,4601.0,85.203705,117,12,13
2017-08-06,fold3,54,5415.0,100.27778,114,12,13
2017-08-07,fold3,54,3478.0,64.40741,125,15,13
2017-08-08,fold3,54,3227.0,59.75926,121,16,13
2017-08-09,fold3,54,2902.0,53.74074,127,16,13
2017-08-10,fold3,54,2320.0,42.962963,140,19,13
2017-08-11,fold3,54,3523.0,65.24074,144,19,13
2017-08-12,fold3,54,3644.0,67.48148,149,20,14
2017-08-13,fold3,54,3718.0,68.85185,150,20,13
2017-08-14,fold3,54,2826.0,52.333332,154,20,14
2017-08-15,fold3,54,2530.0,46.851852,148,20,13
2017-08-16,test,54,,,734,54,14
2017-08-17,test,54,,,142,19,13
2017-08-18,test,54,,,130,18,13
2017-08-19,test,54,,,148,20,13
2017-08-20,test,54,,,152,20,12
2017-08-21,test,54,,,145,20,13
2017-08-22,test,54,,,141,20,13
2017-08-23,test,54,,,157,20,13
2017-08-24,test,54,,,128,17,13
2017-08-25,test,54,,,139,20,13
2017-08-26,test,54,,,152,20,13
2017-08-27,test,54,,,156,20,14
2017-08-28,test,54,,,155,20,14
2017-08-29,test,54,,,153,19,13
2017-08-30,test,54,,,150,18,13
2017-08-31,test,54,,,155,19,13
